Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
RB Leipzig,1.36,1.80,-0.44,1.23,1.48,-0.25,0.13,0.32,-0.19,1.36,1.80,-0.44,0,1,-1,-0.56,43.40,41.42,44.73,0.87,0.83,167,14,9,13,10.34,15.66,13.60,3,6,15,6,16,61.4,37.08,50.8,70.75,79.37,43.24,3,Stuttgart 1-0 RB Leipzig,2026-03-15
Stuttgart,1.80,1.36,0.44,1.48,1.23,0.25,0.32,0.13,0.19,1.80,1.36,0.44,1,0,1,0.56,56.60,58.58,48.87,0.83,0.87,262,10,13,9,15.66,10.34,8.97,6,3,22,5,5,104.2,62.92,21.0,29.25,104.17,56.76,1,Stuttgart 1-0 RB Leipzig,2026-03-15
Union Berlin,1.02,1.54,-0.52,1.02,1.20,-0.18,0.00,0.35,-0.35,1.02,1.54,-0.52,1,0,1,1.52,28.00,32.68,45.60,0.29,0.85,114,3,9,19,31.03,22.35,15.65,4,4,13,2,19,31.5,15.09,154.13,97.67,85.07,53.35,6,Freiburg 0-1 Union Berlin,2026-03-15
Freiburg,1.54,1.02,0.52,1.20,1.02,0.18,0.35,0.00,0.35,1.54,1.02,0.52,0,1,-1,-1.52,72.00,67.32,49.68,0.85,0.29,336,12,19,9,22.35,31.03,6.06,4,4,21,6,6,177.3,84.91,3.67,2.33,74.4,46.65,4,Freiburg 0-1 Union Berlin,2026-03-15
Mainz 05,1.70,1.46,0.24,1.66,1.21,0.45,0.03,0.26,-0.23,1.70,1.46,0.24,2,0,2,1.76,34.20,38.15,46.09,0.87,0.74,140,9,11,16,12.64,21.62,21.08,3,3,14,4,7,41.4,20.9,110.33,93.71,108.37,75.73,5,Werder Bremen 0-2 Mainz 05,2026-03-15
Werder Bremen,1.46,1.70,-0.24,1.21,1.66,-0.45,0.26,0.03,0.23,1.46,1.70,-0.24,0,2,-2,-1.76,65.80,61.85,49.54,0.74,0.87,328,18,16,11,21.62,12.64,12.90,3,3,35,9,7,156.7,79.1,7.4,6.29,34.73,24.27,1,Werder Bremen 0-2 Mainz 05,2026-03-15
Köln,1.75,0.49,1.26,0.58,0.32,0.26,1.17,0.17,1.00,1.75,0.49,1.26,1,1,0,-1.26,54.60,56.01,46.50,0.42,0.38,200,12,10,5,23.81,13.16,11.72,6,3,23,8,12,93.1,57.86,43.07,48.36,81.87,57.91,3,Hamburger SV 1-1 Köln,2026-03-14
Hamburger SV,0.49,1.75,-1.26,0.32,0.58,-0.26,0.17,1.17,-1.00,0.49,1.75,-1.26,1,1,0,1.26,45.40,43.99,45.39,0.38,0.42,173,8,5,10,13.16,23.81,13.67,3,6,18,1,11,67.8,42.14,46.0,51.64,59.5,42.09,0,Hamburger SV 1-1 Köln,2026-03-14
Wolfsburg,0.50,2.19,-1.69,0.19,1.65,-1.46,0.32,0.53,-0.21,0.50,2.19,-1.69,1,1,0,1.69,32.50,31.86,45.25,0.12,1.81,136,5,4,21,33.33,11.6,19.74,3,6,6,4,10,22.5,9.19,110.6,95.62,59.2,30.57,1,Hoffenheim 1-1 Wolfsburg,2026-03-14
Hoffenheim,2.19,0.50,1.69,1.65,0.19,1.46,0.53,0.32,0.21,2.19,0.50,1.69,1,1,0,-1.69,67.50,68.14,50.32,1.81,0.12,324,25,21,4,11.6,33.33,8.57,6,3,47,16,10,222.3,90.81,5.07,4.38,134.47,69.43,4,Hoffenheim 1-1 Wolfsburg,2026-03-14
Augsburg,0.68,3.34,-2.66,0.66,2.41,-1.75,0.02,0.93,-0.91,0.68,3.34,-2.66,0,2,-2,0.66,40.00,28.57,37.47,0.28,1.45,123,6,7,16,25.0,11.03,32.07,1,14,6,2,7,12.8,6.71,65.67,66.83,5.77,2.42,0,Borussia Dortmund 2-0 Augsburg,2026-03-14
Borussia Dortmund,3.34,0.68,2.66,2.41,0.66,1.75,0.93,0.02,0.91,3.34,0.68,2.66,2,0,2,-0.66,60.00,71.43,48.57,1.45,0.28,277,21,16,7,11.03,25.0,10.11,14,1,27,12,7,178.1,93.29,32.6,33.17,232.43,97.58,0,Borussia Dortmund 2-0 Augsburg,2026-03-14
Heidenheim,0.10,1.19,-1.09,0.10,1.11,-1.01,0.00,0.08,-0.08,0.10,1.19,-1.09,0,1,-1,0.09,34.50,40.93,47.78,0.22,0.43,155,8,3,12,13.64,27.91,24.00,2,3,20,4,9,19.9,14.88,133.33,84.1,70.07,52.25,6,Eintracht Frankfurt 1-0 Heidenheim,2026-03-14
Eintracht Frankfurt,1.19,0.10,1.09,1.11,0.10,1.01,0.08,0.00,0.08,1.19,0.10,1.09,1,0,1,-0.09,65.50,59.07,47.82,0.43,0.22,300,12,12,3,27.91,13.64,13.74,3,2,15,5,5,113.8,85.12,25.2,15.9,64.03,47.75,2,Eintracht Frankfurt 1-0 Heidenheim,2026-03-14
Bayern München,2.37,3.15,-0.78,2.37,3.04,-0.67,0.00,0.11,-0.11,2.37,3.15,-0.78,1,1,0,0.78,55.40,52.74,51.17,0.88,1.1,368,14,11,21,12.5,19.09,11.59,7,8,8,1,13,193.0,52.39,32.4,23.4,110.1,36.61,0,Bayer Leverkusen 1-1 Bayern München,2026-03-14
Bayer Leverkusen,3.15,2.37,0.78,3.04,2.37,0.67,0.11,0.00,0.11,3.15,2.37,0.78,1,1,0,-0.78,44.60,47.26,51.98,1.1,0.88,288,15,21,11,19.09,12.5,13.51,8,7,20,4,12,175.4,47.61,106.07,76.6,190.67,63.39,0,Bayer Leverkusen 1-1 Bayern München,2026-03-14
St. Pauli,1.15,1.09,0.06,1.09,1.04,0.05,0.06,0.04,0.02,1.15,1.09,0.06,0,2,-2,-2.06,59.6,70.95,53.79,0.56,0.4,444,16,8,10,14.29,25.0,16.42,5,3,19,2,7,230.1,83.13,61.47,40.93,160.93,79.14,1,Borussia M'gladbach 2-0 St. Pauli,2026-03-13
Borussia M'gladbach,1.09,1.15,-0.06,1.04,1.09,-0.05,0.04,0.06,-0.02,1.09,1.15,-0.06,2,0,2,2.06,40.4,29.05,40.0,0.4,0.56,162,5,10,8,25.0,14.29,22.48,3,5,5,2,9,46.7,16.87,88.73,59.07,42.43,20.86,2,Borussia M'gladbach 2-0 St. Pauli,2026-03-13
Werder Bremen,2.51,1.21,1.3,2.36,0.45,1.91,0.15,0.0,0.15,2.51,0.45,2.06,4,1,3,1.7,73.8,63.91,51.05,0.83,0.34,395,15,15,9,18.07,26.47,9.0,5,3,16,3,13,202.3,82.88,2.73,1.59,88.93,55.76,0,Union Berlin 1-4 Werder Bremen,2026-03-08
Union Berlin,1.21,2.51,-1.3,0.45,2.36,-1.91,0.0,0.15,-0.15,0.45,2.51,-2.06,1,4,-3,-1.7,26.2,36.09,46.0,0.34,0.83,119,4,9,15,26.47,18.07,27.68,3,5,12,1,5,41.8,17.12,169.47,98.41,70.57,44.24,7,Union Berlin 1-4 Werder Bremen,2026-03-08
Eintracht Frankfurt,0.47,0.8,-0.33,0.47,0.6,-0.13,0.0,0.2,-0.2,0.47,0.8,-0.33,0,0,0,0.33,71.4,62.46,48.51,0.33,0.24,341,9,8,11,24.24,45.83,8.6,5,6,15,5,8,129.1,64.29,2.8,1.31,23.4,11.84,2,St. Pauli 0-0 Eintracht Frankfurt,2026-03-08
