Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Milan,2.23,0.88,1.35,2.22,0.88,1.34,0.01,0.00,0.01,2.23,0.88,1.35,0,1,-1,-2.35,59.00,65.14,49.35,1.65,0.18,293,18,17,7,10.3,38.89,11.90,5,4,33,9,19,189.3,87.64,27.67,27.54,148.2,75.06,0,Lazio 1-0 Milan,2026-03-15
Lazio,0.88,2.23,-1.35,0.88,2.22,-1.34,0.00,0.01,-0.01,0.88,2.23,-1.35,1,0,1,2.35,41.00,34.86,46.10,0.18,1.65,177,8,7,17,38.89,10.3,16.61,4,5,11,1,7,26.7,12.36,72.8,72.46,49.23,24.94,0,Lazio 1-0 Milan,2026-03-15
Roma,0.98,2.35,-1.37,0.22,1.69,-1.47,0.00,0.67,-0.67,0.22,2.35,-2.13,1,2,-1,0.37,33.80,29.39,40.13,0.27,1.23,90,3,3,22,11.11,17.89,11.19,5,1,6,1,18,17.6,8.4,128.6,82.26,57.6,32.93,0,Como 2-1 Roma,2026-03-15
Como,2.35,0.98,1.37,1.69,0.22,1.47,0.67,0.00,0.67,2.35,0.22,2.13,2,1,1,-0.37,66.20,70.61,45.77,1.23,0.27,248,21,22,3,17.89,11.11,7.53,1,5,19,7,16,191.9,91.6,27.73,17.74,117.33,67.07,1,Como 2-1 Roma,2026-03-15
Bologna,1.08,0.82,0.26,1.08,0.75,0.33,0.00,0.07,-0.07,1.08,0.82,0.26,1,0,1,0.74,45.20,46.86,50.08,0.54,0.44,187,12,16,9,29.63,20.45,13.92,3,1,13,4,11,76.1,46.07,52.33,74.91,109.57,72.83,2,Sassuolo 0-1 Bologna,2026-03-15
Sassuolo,0.82,1.08,-0.26,0.75,1.08,-0.33,0.07,0.00,0.07,0.82,1.08,-0.26,0,1,-1,-0.74,54.80,53.14,46.88,0.44,0.54,207,12,9,16,20.45,29.63,9.74,1,3,16,7,16,89.1,53.93,17.53,25.09,40.87,27.17,0,Sassuolo 0-1 Bologna,2026-03-15
Cagliari,1.77,2.84,-1.07,1.63,1.39,0.24,0.14,0.69,-0.55,1.77,2.08,-0.31,1,3,-2,-0.93,71.80,69.53,51.02,1.16,0.42,325,12,14,10,12.07,23.81,6.34,1,2,25,5,16,172.0,80.34,5.47,3.99,76.2,41.8,1,Pisa 3-1 Cagliari,2026-03-15
Pisa,2.84,1.77,1.07,1.39,1.63,-0.24,0.69,0.14,0.55,2.08,1.77,0.31,3,1,2,0.93,28.20,30.47,44.46,0.42,1.16,97,10,10,14,23.81,12.07,19.77,2,1,8,1,14,42.1,19.66,131.73,96.01,106.1,58.2,1,Pisa 3-1 Cagliari,2026-03-15
Genoa,0.70,0.40,0.30,0.67,0.30,0.37,0.03,0.11,-0.08,0.70,0.40,0.30,2,0,2,1.70,57.70,50.43,43.27,0.28,0.62,171,9,11,8,39.29,12.9,7.85,2,4,13,2,9,54.9,59.03,18.27,20.71,51.8,40.8,6,Hellas Verona 0-2 Genoa,2026-03-15
Hellas Verona,0.40,0.70,-0.30,0.30,0.67,-0.37,0.11,0.03,0.08,0.40,0.70,-0.30,0,2,-2,-1.70,42.30,49.57,48.11,0.62,0.28,159,7,8,11,12.9,39.29,9.00,4,2,18,4,22,38.1,40.97,69.93,79.29,75.17,59.2,4,Hellas Verona 0-2 Genoa,2026-03-15
Juventus,3.85,0.67,3.18,3.03,0.64,2.39,0.82,0.03,0.79,3.85,0.67,3.18,1,0,1,-2.18,55.00,67.58,53.08,1.68,0.29,287,31,22,10,13.1,34.48,10.20,6,2,22,6,14,246.3,82.18,40.93,46.55,240.53,85.65,1,Udinese 0-1 Juventus,2026-03-14
Udinese,0.67,3.85,-3.18,0.64,3.03,-2.39,0.03,0.82,-0.79,0.67,3.85,-3.18,0,1,-1,2.18,45.00,32.42,43.47,0.29,1.68,172,4,10,22,34.48,13.1,13.81,2,6,10,2,12,53.4,17.82,47.0,53.45,40.3,14.35,2,Udinese 0-1 Juventus,2026-03-14
Lecce,1.18,1.63,-0.45,0.54,1.46,-0.92,0.63,0.17,0.46,1.18,1.63,-0.45,1,2,-1,-0.55,31.10,39.93,51.82,0.09,0.78,169,9,12,12,133.33,15.38,17.30,4,4,22,7,7,40.8,24.07,173.87,97.28,152.03,75.58,1,Napoli 2-1 Lecce,2026-03-14
Napoli,1.63,1.18,0.45,1.46,0.54,0.92,0.17,0.63,-0.46,1.63,1.18,0.45,2,1,1,0.55,68.90,60.07,44.48,0.78,0.09,235,10,12,12,15.38,133.33,7.86,4,4,18,7,11,128.7,75.93,4.87,2.72,49.13,24.42,0,Napoli 2-1 Lecce,2026-03-14
Atalanta,0.72,1.89,-1.17,0.64,1.83,-1.19,0.07,0.06,0.01,0.72,1.89,-1.17,1,1,0,1.17,42.70,42.03,47.98,0.4,2.1,234,11,8,16,20.0,7.62,20.88,7,4,22,3,5,46.5,19.33,72.67,57.95,48.47,17.49,2,Internazionale 1-1 Atalanta,2026-03-14
Internazionale,1.89,0.72,1.17,1.83,0.64,1.19,0.06,0.07,-0.01,1.89,0.72,1.17,1,1,0,-1.17,57.30,57.97,49.04,2.1,0.4,296,27,16,8,7.62,20.0,16.20,4,7,17,2,11,194.1,80.67,52.73,42.05,228.63,82.51,1,Internazionale 1-1 Atalanta,2026-03-14
Fiorentina,1.8,1.55,0.25,1.75,1.26,0.49,0.05,0.29,-0.24,1.8,1.55,0.25,4,1,3,2.75,51.5,38.93,43.28,0.7,1.57,163,12,13,13,18.57,8.28,13.26,2,4,17,6,16,78.7,44.29,24.73,27.89,87.6,61.95,1,Cremonese 1-4 Fiorentina,2026-03-16
Cremonese,1.55,1.8,-0.25,1.26,1.75,-0.49,0.29,0.05,0.24,1.55,1.8,-0.25,1,4,-3,-2.75,48.5,61.07,50.21,1.57,0.7,225,19,13,13,8.28,18.57,9.61,4,2,36,4,17,99.0,55.71,63.93,72.11,53.8,38.05,4,Cremonese 1-4 Fiorentina,2026-03-16
Parma,1.09,1.96,-0.87,0.27,1.02,-0.75,0.82,0.94,-0.12,1.09,1.96,-0.87,1,4,-3,-2.13,50.5,51.69,46.07,0.49,0.55,181,6,6,16,12.24,29.09,9.74,1,7,15,7,13,69.6,42.13,51.87,54.29,70.7,43.72,3,Torino 4-1 Parma,2026-03-13
Torino,1.96,1.09,0.87,1.02,0.27,0.75,0.94,0.82,0.12,1.96,1.09,0.87,4,1,3,2.13,49.5,48.31,50.07,0.55,0.49,229,11,16,6,29.09,12.24,9.05,7,1,12,2,17,95.6,57.87,43.67,45.71,91.0,56.28,1,Torino 4-1 Parma,2026-03-13
Sassuolo,1.19,3.21,-2.02,1.19,3.06,-1.87,0.0,0.15,-0.15,1.19,3.21,-2.02,1,2,-1,1.02,49.6,48.31,49.52,0.54,0.55,258,11,7,13,12.96,23.64,24.78,5,0,17,6,8,105.6,41.64,99.4,53.87,87.03,39.2,0,Lazio 2-1 Sassuolo,2026-03-09
Lazio,3.21,1.19,2.02,3.06,1.19,1.87,0.15,0.0,0.15,3.21,1.19,2.02,2,1,1,-1.02,50.4,51.69,49.89,0.55,0.54,284,16,13,7,23.64,12.96,24.78,0,5,15,1,7,148.0,58.36,85.13,46.13,134.97,60.8,0,Lazio 2-1 Sassuolo,2026-03-09
Internazionale,1.24,0.94,0.3,1.21,0.94,0.27,0.03,0.0,0.03,1.24,0.94,0.3,0,1,-1,-1.3,62.9,77.66,55.99,0.9,0.43,444,19,11,9,12.22,20.93,11.52,4,3,31,6,12,268.3,90.12,24.93,15.85,175.97,74.58,2,Milan 1-0 Internazionale,2026-03-08
Milan,0.94,1.24,-0.3,0.94,1.21,-0.27,0.0,0.03,-0.03,0.94,1.24,-0.3,1,0,1,1.3,37.1,22.34,43.09,0.43,0.9,132,5,9,11,20.93,12.22,14.53,3,4,6,1,8,29.4,9.88,132.33,84.15,59.97,25.42,0,Milan 1-0 Internazionale,2026-03-08
Roma,0.47,2.81,-2.34,0.25,1.98,-1.73,0.22,0.07,0.15,0.47,2.05,-1.58,1,2,-1,1.34,63.7,57.14,48.62,0.62,0.89,236,14,8,11,12.9,12.36,7.93,4,7,23,6,17,110.5,61.77,6.73,6.42,67.03,35.41,1,Genoa 2-1 Roma,2026-03-08
Genoa,2.81,0.47,2.34,1.98,0.25,1.73,0.07,0.22,-0.15,2.05,0.47,1.58,2,1,1,-1.34,36.3,42.86,50.31,0.89,0.62,146,15,11,8,12.36,12.9,9.82,7,4,14,3,11,68.4,38.23,98.07,93.58,122.27,64.59,7,Genoa 2-1 Roma,2026-03-08
Parma,0.43,1.64,-1.21,0.4,1.44,-1.04,0.03,0.2,-0.17,0.43,1.64,-1.21,0,0,0,1.21,44.3,41.11,50.03,0.48,1.11,218,5,8,12,16.67,10.81,14.67,3,5,11,1,14,70.8,28.21,99.87,67.21,66.4,34.75,0,Fiorentina 0-0 Parma,2026-03-08
Fiorentina,1.64,0.43,1.21,1.44,0.4,1.04,0.2,0.03,0.17,1.64,0.43,1.21,0,0,0,-1.21,55.7,58.89,52.45,1.11,0.48,324,22,12,8,10.81,16.67,10.56,5,3,36,7,12,180.2,71.79,48.73,32.79,124.67,65.25,1,Fiorentina 0-0 Parma,2026-03-08
Hellas Verona,2.33,1.5,0.83,2.31,1.16,1.15,0.03,0.34,-0.31,2.33,1.5,0.83,2,1,1,0.17,33.2,41.42,48.87,0.77,0.57,117,10,15,19,19.48,33.33,10.44,8,3,17,3,20,77.8,39.25,108.87,95.89,150.13,68.5,2,Bologna 1-2 Hellas Verona,2026-03-08
Bologna,1.5,2.33,-0.83,1.16,2.31,-1.15,0.34,0.03,0.31,1.5,2.33,-0.83,1,2,-1,-0.17,66.8,58.58,49.55,0.57,0.77,263,14,19,15,33.33,19.48,5.56,3,8,17,5,5,120.4,60.75,4.67,4.11,69.03,31.5,0,Bologna 1-2 Hellas Verona,2026-03-08
Cremonese,1.11,1.61,-0.5,0.97,0.49,0.48,0.14,0.36,-0.22,1.11,0.85,0.26,1,2,-1,-0.5,59.6,57.54,45.53,0.7,0.37,183,9,10,9,14.29,24.32,5.02,5,4,28,4,27,81.6,56.28,10.67,13.74,63.93,33.38,5,Lecce 2-1 Cremonese,2026-03-08
Lecce,1.61,1.11,0.5,0.49,0.97,-0.48,0.36,0.14,0.22,0.85,1.11,-0.26,2,1,1,0.5,40.4,42.46,49.52,0.37,0.7,133,9,9,10,24.32,14.29,6.98,4,5,15,4,19,63.4,43.72,67.0,86.26,127.57,66.62,0,Lecce 2-1 Cremonese,2026-03-08
