Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Lille,1.90,1.49,0.41,1.82,1.49,0.33,0.08,0.00,0.08,1.90,1.49,0.41,2,1,1,0.59,40.70,29.68,38.02,0.43,0.58,112,5,8,12,18.6,20.69,19.92,2,2,5,2,7,34.5,18.64,87.07,65.24,83.33,48.79,0,Rennes 1-2 Lille,2026-03-15
Rennes,1.49,1.90,-0.41,1.49,1.82,-0.33,0.00,0.08,-0.08,1.49,1.90,-0.41,1,2,-1,-0.59,59.30,70.32,50.70,0.58,0.43,330,11,12,8,20.69,18.6,11.94,2,2,25,5,16,150.6,81.36,46.4,34.76,87.47,51.21,1,Rennes 1-2 Lille,2026-03-15
Toulouse,2.37,2.10,0.27,2.26,2.07,0.19,0.11,0.03,0.08,2.37,2.10,0.27,4,3,1,0.73,49.60,50.89,47.59,0.76,0.85,218,23,19,17,25.0,20.0,13.21,5,2,13,4,13,107.8,55.62,69.13,63.16,129.57,76.7,1,Metz 3-4 Toulouse,2026-03-15
Metz,2.10,2.37,-0.27,2.07,2.26,-0.19,0.03,0.11,-0.08,2.10,2.37,-0.27,3,4,-1,-0.73,50.40,49.11,44.98,0.85,0.76,207,11,17,19,20.0,25.0,14.36,2,5,18,4,10,86.0,44.38,40.33,36.84,39.37,23.3,0,Metz 3-4 Toulouse,2026-03-15
Olympique Lyonnais,1.18,1.12,0.06,1.18,1.12,0.06,0.00,0.00,0.00,1.18,1.12,0.06,0,0,0,-0.06,65.30,77.07,55.62,0.97,0.8,369,17,13,12,13.4,15.0,8.50,2,2,32,2,16,206.9,91.27,15.07,15.3,155.23,80.98,0,Le Havre 0-0 Olympique Lyonnais,2026-03-15
Le Havre,1.12,1.18,-0.06,1.12,1.18,-0.06,0.00,0.00,0.00,1.12,1.18,-0.06,0,0,0,0.06,34.70,22.93,40.85,0.8,0.97,103,11,12,13,15.0,13.4,20.21,2,2,19,2,7,19.8,8.73,83.4,84.7,36.47,19.02,0,Le Havre 0-0 Olympique Lyonnais,2026-03-15
Paris FC,0.70,1.55,-0.85,0.52,0.89,-0.37,0.18,0.66,-0.48,0.70,1.55,-0.85,0,0,0,0.85,39.70,32.68,43.50,0.34,0.92,153,8,11,12,32.35,13.04,15.77,1,9,15,4,17,23.1,14.0,81.13,80.49,56.9,33.25,0,Strasbourg 0-0 Paris FC,2026-03-15
Strasbourg,1.55,0.70,0.85,0.89,0.52,0.37,0.66,0.18,0.48,1.55,0.70,0.85,0,0,0,-0.85,60.30,67.32,49.89,0.92,0.34,288,17,12,11,13.04,32.35,8.05,9,1,31,12,11,141.9,86.0,19.67,19.51,114.23,66.75,0,Strasbourg 0-0 Paris FC,2026-03-15
Brest,1.50,2.19,-0.69,1.19,2.14,-0.95,0.31,0.06,0.25,1.50,2.19,-0.69,0,2,-2,-1.31,44.40,51.75,48.09,0.94,1.04,209,18,13,10,13.83,9.62,12.05,7,3,28,8,8,90.5,44.34,92.2,74.64,94.57,48.83,2,Monaco 2-0 Brest,2026-03-14
Monaco,2.19,1.50,0.69,2.14,1.19,0.95,0.06,0.31,-0.25,2.19,1.50,0.69,2,0,2,1.31,55.60,48.25,47.84,1.04,0.94,252,14,10,13,9.62,13.83,13.56,3,7,8,3,9,113.6,55.66,31.33,25.36,99.1,51.17,1,Monaco 2-0 Brest,2026-03-14
